Criado como novo conjunto de dados;"0307_DANIEL.spp","63905.6 Secs"
cm-1;Abs
9724.000000;0.267684
9723.000000;0.265878
9722.000000;0.264570
9721.000000;0.263769
9720.000000;0.263062
9719.000000;0.261938
9718.000000;0.260206
9717.000000;0.258137
9716.000000;0.256204
9715.000000;0.254635
9714.000000;0.253229
9713.000000;0.251657
9712.000000;0.249897
9711.000000;0.248241
9710.000000;0.246901
9709.000000;0.245775
9708.000000;0.244651
9707.000000;0.243437
9706.000000;0.242090
9705.000000;0.240497
9704.000000;0.238650
9703.000000;0.236821
9702.000000;0.235326
9701.000000;0.234128
9700.000000;0.232861
9699.000000;0.231260
9698.000000;0.229429
9697.000000;0.227652
9696.000000;0.226083
9695.000000;0.224653
9694.000000;0.223179
9693.000000;0.221505
9692.000000;0.219645
9691.000000;0.217820
9690.000000;0.216248
9689.000000;0.214882
9688.000000;0.213440
9687.000000;0.211716
9686.000000;0.209796
9685.000000;0.207932
9684.000000;0.206307
9683.000000;0.204914
9682.000000;0.203569
9681.000000;0.202006
9680.000000;0.200092
9679.000000;0.198018
9678.000000;0.196169
9677.000000;0.194707
9676.000000;0.193373
9675.000000;0.191769
9674.000000;0.189784
9673.000000;0.187674
9672.000000;0.185764
9671.000000;0.184171
9670.000000;0.182759
9669.000000;0.181290
9668.000000;0.179605
9667.000000;0.177729
9666.000000;0.175791
9665.000000;0.173851
9664.000000;0.171871
9663.000000;0.169867
9662.000000;0.167971
9661.000000;0.166244
9660.000000;0.164540
9659.000000;0.162684
9658.000000;0.160756
9657.000000;0.159026
9656.000000;0.157594
9655.000000;0.156227
9654.000000;0.154617
9653.000000;0.152697
9652.000000;0.150622
9651.000000;0.148517
9650.000000;0.146394
9649.000000;0.144290
9648.000000;0.142345
9647.000000;0.140676
9646.000000;0.139201
9645.000000;0.137683
9644.000000;0.135940
9643.000000;0.133976
9642.000000;0.131941
9641.000000;0.130037
9640.000000;0.128419
9639.000000;0.127065
9638.000000;0.125684
9637.000000;0.123873
9636.000000;0.121505
9635.000000;0.118885
9634.000000;0.116430
9633.000000;0.114244
9632.000000;0.112142
9631.000000;0.110048
9630.000000;0.108160
9629.000000;0.106660
9628.000000;0.105417
9627.000000;0.104132
9626.000000;0.102681
9625.000000;0.101181
9624.000000;0.099731
9623.000000;0.098219
9622.000000;0.096440
9621.000000;0.094350
9620.000000;0.092143
9619.000000;0.090085
9618.000000;0.088290
9617.000000;0.086670
9616.000000;0.085096
9615.000000;0.083531
9614.000000;0.081951
9613.000000;0.080220
9612.000000;0.078161
9611.000000;0.075752
9610.000000;0.073138
9609.000000;0.070471
9608.000000;0.067849
9607.000000;0.065414
9606.000000;0.063323
9605.000000;0.061530
9604.000000;0.059757
9603.000000;0.057797
9602.000000;0.055764
9601.000000;0.053926
9600.000000;0.052368
9599.000000;0.050924
9598.000000;0.049376
9597.000000;0.047581
9596.000000;0.045457
9595.000000;0.043013
9594.000000;0.040436
9593.000000;0.038032
9592.000000;0.036017
9591.000000;0.034378
9590.000000;0.032901
9589.000000;0.031302
9588.000000;0.029386
9587.000000;0.027182
9586.000000;0.024908
9585.000000;0.022741
9584.000000;0.020666
9583.000000;0.018572
9582.000000;0.016427
9581.000000;0.014248
9580.000000;0.012009
9579.000000;0.009706
9578.000000;0.007471
9577.000000;0.005488
9576.000000;0.003787
9575.000000;0.002271
9574.000000;0.000867
9573.000000;-0.000495
9572.000000;-0.002068
9571.000000;-0.004182
9570.000000;-0.006861
9569.000000;-0.009696
9568.000000;-0.012216
9567.000000;-0.014284
9566.000000;-0.016053
9565.000000;-0.017712
9564.000000;-0.019425
9563.000000;-0.021381
9562.000000;-0.023679
9561.000000;-0.026150
9560.000000;-0.028450
9559.000000;-0.030404
9558.000000;-0.032134
9557.000000;-0.033851
9556.000000;-0.035615
9555.000000;-0.037403
9554.000000;-0.039305
9553.000000;-0.041497
9552.000000;-0.043999
9551.000000;-0.046558
9550.000000;-0.048843
9549.000000;-0.050732
9548.000000;-0.052360
9547.000000;-0.053907
9546.000000;-0.055445
9545.000000;-0.056999
9544.000000;-0.058672
9543.000000;-0.060584
9542.000000;-0.062723
9541.000000;-0.064947
9540.000000;-0.067155
9539.000000;-0.069354
9538.000000;-0.071548
9537.000000;-0.073638
9536.000000;-0.075517
